FIELDTYPE,MODBUSADDRESS,FIELDSIZE,FIELDNAME,VALUE,TYPE,MANDATORY,R/W,SF,UNIT,SERVERID
Header,2,1,"ID ""Common""",1,uint16,M,R,,,1
Header,3,1,Length,66,uint16,M,R,,,1
Fixed,4,16,Manufacturer,,string,M,R,,,1
Fixed,20,16,Model,,string,M,R,,,1
Fixed,36,8,Options,,string,O,R,,,1
Fixed,44,8,Version,,string,O,R,,,1
Fixed,52,16,SerialNumber,,string,M,R,,,1
Fixed,68,1,DeviceAddress,,uint16,O,RW,,,1
Fixed,69,1,Pad,,pad,O,R,,,1
Header,70,1,"ID ""InverterThreePhase""",103,uint16,M,R,,,1
Header,71,1,Length,50,uint16,M,R,,,1
Fixed,72,1,Amps,,uint16,M,R,A_SF,A,1
Fixed,73,1,AmpsPhaseA,,uint16,M,R,A_SF,A,1
Fixed,74,1,AmpsPhaseB,,uint16,M,R,A_SF,A,1
Fixed,75,1,AmpsPhaseC,,uint16,M,R,A_SF,A,1
Fixed,76,1,A_SF,,scalefactor,M,R,,,1
Fixed,77,1,PhaseVoltageAB,,uint16,O,R,V_SF,V,1
Fixed,78,1,PhaseVoltageBC,,uint16,O,R,V_SF,V,1
Fixed,79,1,PhaseVoltageCA,,uint16,O,R,V_SF,V,1
Fixed,80,1,PhaseVoltageAN,,uint16,M,R,V_SF,V,1
Fixed,81,1,PhaseVoltageBN,,uint16,M,R,V_SF,V,1
Fixed,82,1,PhaseVoltageCN,,uint16,M,R,V_SF,V,1
Fixed,83,1,V_SF,,scalefactor,M,R,,,1
Fixed,84,1,Watts,,sint16,M,R,W_SF,W,1
Fixed,85,1,W_SF,,scalefactor,M,R,,,1
Fixed,86,1,Hz,,uint16,M,R,Hz_SF,Hz,1
Fixed,87,1,Hz_SF,,scalefactor,M,R,,,1
Fixed,88,1,VA,,sint16,O,R,VA_SF,VA,1
Fixed,89,1,VA_SF,,scalefactor,O,R,,,1
Fixed,90,1,VAr,,sint16,O,R,VAr_SF,var,1
Fixed,91,1,VAr_SF,,scalefactor,O,R,,,1
Fixed,92,1,PF,,sint16,O,R,PF_SF,Pct,1
Fixed,93,1,PF_SF,,scalefactor,O,R,,,1
Fixed,94,2,WattHours,,acc32,M,R,WH_SF,Wh,1
Fixed,96,1,WH_SF,,scalefactor,M,R,,,1
Fixed,97,1,DCAmps,,sint16,O,R,DCA_SF,A,1
Fixed,98,1,DCA_SF,,scalefactor,O,R,,,1
Fixed,99,1,DCVoltage,,uint16,O,R,DCV_SF,V,1
Fixed,100,1,DCV_SF,,scalefactor,O,R,,,1
Fixed,101,1,DCWatts,,sint16,O,R,DCW_SF,W,1
Fixed,102,1,DCW_SF,,scalefactor,O,R,,,1
Fixed,103,1,CabinetTemperature,,sint16,M,R,Tmp_SF,C,1
Fixed,104,1,HeatSinkTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,105,1,TransformerTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,106,1,OtherTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,107,1,Tmp_SF,,scalefactor,M,R,,,1
Fixed,108,1,OperatingState,,enum16,M,R,,,1
Fixed,109,1,VendorOperatingState,,enum16,O,R,,,1
Fixed,110,2,Event1,,bitfield32,M,R,,,1
Fixed,112,2,EventBitfield2,,bitfield32,M,R,,,1
Fixed,114,2,VendorEventBitfield1,,bitfield32,O,R,,,1
Fixed,116,2,VendorEventBitfield2,,bitfield32,O,R,,,1
Fixed,118,2,VendorEventBitfield3,,bitfield32,O,R,,,1
Fixed,120,2,VendorEventBitfield4,,bitfield32,O,R,,,1
Header,122,1,"ID ""InverterThreePhase""",103,uint16,M,R,,,1
Header,123,1,Length,50,uint16,M,R,,,1
Fixed,124,1,Amps,,uint16,M,R,A_SF,A,1
Fixed,125,1,AmpsPhaseA,,uint16,M,R,A_SF,A,1
Fixed,126,1,AmpsPhaseB,,uint16,M,R,A_SF,A,1
Fixed,127,1,AmpsPhaseC,,uint16,M,R,A_SF,A,1
Fixed,128,1,A_SF,,scalefactor,M,R,,,1
Fixed,129,1,PhaseVoltageAB,,uint16,O,R,V_SF,V,1
Fixed,130,1,PhaseVoltageBC,,uint16,O,R,V_SF,V,1
Fixed,131,1,PhaseVoltageCA,,uint16,O,R,V_SF,V,1
Fixed,132,1,PhaseVoltageAN,,uint16,M,R,V_SF,V,1
Fixed,133,1,PhaseVoltageBN,,uint16,M,R,V_SF,V,1
Fixed,134,1,PhaseVoltageCN,,uint16,M,R,V_SF,V,1
Fixed,135,1,V_SF,,scalefactor,M,R,,,1
Fixed,136,1,Watts,,sint16,M,R,W_SF,W,1
Fixed,137,1,W_SF,,scalefactor,M,R,,,1
Fixed,138,1,Hz,,uint16,M,R,Hz_SF,Hz,1
Fixed,139,1,Hz_SF,,scalefactor,M,R,,,1
Fixed,140,1,VA,,sint16,O,R,VA_SF,VA,1
Fixed,141,1,VA_SF,,scalefactor,O,R,,,1
Fixed,142,1,VAr,,sint16,O,R,VAr_SF,var,1
Fixed,143,1,VAr_SF,,scalefactor,O,R,,,1
Fixed,144,1,PF,,sint16,O,R,PF_SF,Pct,1
Fixed,145,1,PF_SF,,scalefactor,O,R,,,1
Fixed,146,2,WattHours,,acc32,M,R,WH_SF,Wh,1
Fixed,148,1,WH_SF,,scalefactor,M,R,,,1
Fixed,149,1,DCAmps,,sint16,O,R,DCA_SF,A,1
Fixed,150,1,DCA_SF,,scalefactor,O,R,,,1
Fixed,151,1,DCVoltage,,uint16,O,R,DCV_SF,V,1
Fixed,152,1,DCV_SF,,scalefactor,O,R,,,1
Fixed,153,1,DCWatts,,sint16,O,R,DCW_SF,W,1
Fixed,154,1,DCW_SF,,scalefactor,O,R,,,1
Fixed,155,1,CabinetTemperature,,sint16,M,R,Tmp_SF,C,1
Fixed,156,1,HeatSinkTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,157,1,TransformerTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,158,1,OtherTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,159,1,Tmp_SF,,scalefactor,M,R,,,1
Fixed,160,1,OperatingState,,enum16,M,R,,,1
Fixed,161,1,VendorOperatingState,,enum16,O,R,,,1
Fixed,162,2,Event1,,bitfield32,M,R,,,1
Fixed,164,2,EventBitfield2,,bitfield32,M,R,,,1
Fixed,166,2,VendorEventBitfield1,,bitfield32,O,R,,,1
Fixed,168,2,VendorEventBitfield2,,bitfield32,O,R,,,1
Fixed,170,2,VendorEventBitfield3,,bitfield32,O,R,,,1
Fixed,172,2,VendorEventBitfield4,,bitfield32,O,R,,,1
Header,174,1,"ID ""InverterThreePhase""",103,uint16,M,R,,,1
Header,175,1,Length,50,uint16,M,R,,,1
Fixed,176,1,Amps,,uint16,M,R,A_SF,A,1
Fixed,177,1,AmpsPhaseA,,uint16,M,R,A_SF,A,1
Fixed,178,1,AmpsPhaseB,,uint16,M,R,A_SF,A,1
Fixed,179,1,AmpsPhaseC,,uint16,M,R,A_SF,A,1
Fixed,180,1,A_SF,,scalefactor,M,R,,,1
Fixed,181,1,PhaseVoltageAB,,uint16,O,R,V_SF,V,1
Fixed,182,1,PhaseVoltageBC,,uint16,O,R,V_SF,V,1
Fixed,183,1,PhaseVoltageCA,,uint16,O,R,V_SF,V,1
Fixed,184,1,PhaseVoltageAN,,uint16,M,R,V_SF,V,1
Fixed,185,1,PhaseVoltageBN,,uint16,M,R,V_SF,V,1
Fixed,186,1,PhaseVoltageCN,,uint16,M,R,V_SF,V,1
Fixed,187,1,V_SF,,scalefactor,M,R,,,1
Fixed,188,1,Watts,,sint16,M,R,W_SF,W,1
Fixed,189,1,W_SF,,scalefactor,M,R,,,1
Fixed,190,1,Hz,,uint16,M,R,Hz_SF,Hz,1
Fixed,191,1,Hz_SF,,scalefactor,M,R,,,1
Fixed,192,1,VA,,sint16,O,R,VA_SF,VA,1
Fixed,193,1,VA_SF,,scalefactor,O,R,,,1
Fixed,194,1,VAr,,sint16,O,R,VAr_SF,var,1
Fixed,195,1,VAr_SF,,scalefactor,O,R,,,1
Fixed,196,1,PF,,sint16,O,R,PF_SF,Pct,1
Fixed,197,1,PF_SF,,scalefactor,O,R,,,1
Fixed,198,2,WattHours,,acc32,M,R,WH_SF,Wh,1
Fixed,200,1,WH_SF,,scalefactor,M,R,,,1
Fixed,201,1,DCAmps,,sint16,O,R,DCA_SF,A,1
Fixed,202,1,DCA_SF,,scalefactor,O,R,,,1
Fixed,203,1,DCVoltage,,uint16,O,R,DCV_SF,V,1
Fixed,204,1,DCV_SF,,scalefactor,O,R,,,1
Fixed,205,1,DCWatts,,sint16,O,R,DCW_SF,W,1
Fixed,206,1,DCW_SF,,scalefactor,O,R,,,1
Fixed,207,1,CabinetTemperature,,sint16,M,R,Tmp_SF,C,1
Fixed,208,1,HeatSinkTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,209,1,TransformerTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,210,1,OtherTemperature,,sint16,O,R,Tmp_SF,C,1
Fixed,211,1,Tmp_SF,,scalefactor,M,R,,,1
Fixed,212,1,OperatingState,,enum16,M,R,,,1
Fixed,213,1,VendorOperatingState,,enum16,O,R,,,1
Fixed,214,2,Event1,,bitfield32,M,R,,,1
Fixed,216,2,EventBitfield2,,bitfield32,M,R,,,1
Fixed,218,2,VendorEventBitfield1,,bitfield32,O,R,,,1
Fixed,220,2,VendorEventBitfield2,,bitfield32,O,R,,,1
Fixed,222,2,VendorEventBitfield3,,bitfield32,O,R,,,1
Fixed,224,2,VendorEventBitfield4,,bitfield32,O,R,,,1
Header,226,1,"ID ""InverterThreePhase""",103,uint16,M,R,,,1
Header,227,1,Length,50,uint16,M,R,,,1
Fixed,228,1,Amps,,uint16,M,R,A_SF,A,1
Fixed,229,1,AmpsPhaseA,,uint16,M,R,A_SF,A,1
Fixed,230,1,AmpsPhaseB,,uint16,M,R,A_SF,A,1
Fixed,231,1,AmpsPhaseC,,uint16,M,R,A_SF,A,1
Fixed,232,1,A_SF,,scalefactor,M,R,,,1
Fixed,233,1,PhaseVoltageAB,,uint16,O,R,V_SF,V,1
Fixed,234,1,PhaseVoltageBC,,uint16,O,R,V_SF,V,1
Fixed,235,1,PhaseVoltageCA,,uint16,O,R,V_SF,V,1
Fixed,236,1,PhaseVoltageAN,,uint16,M,R,V_SF,V,1
Fixed,237,1,PhaseVoltageBN,,uint16,M,R,V_SF,V,1
Fixed,238,1,PhaseVoltageCN,,uint16,M,R,V_SF,V,1
Fixed,239,1,V_SF,,scalefactor,M,R,,,1
Fixed,240,1,Watts,,sint16,M,R,W_SF,W,1
Fixed,241,1,W_SF,,scalefactor,M,R,,,1
Fixed,242,1,Hz,,uint16,M,R,Hz_SF,Hz,1
Fixed,243,1,Hz_SF,,scalefactor,M,R,,,1
Fixed,244,1,VA,,sint16,O,R,VA_SF,VA,1
Fixed,245,1,VA_SF,,scalefactor,O,R,,,1
Fixed,246,1,VAr,,sint16,O,R,VAr_SF,var,1
Fixed,247,1,VAr_SF,,scalefactor,O,R,,,1
Fixed,248,1,PF,,sint16,O,R,PF_SF,Pct,1
Fixed,249,1,PF_SF,,scalefactor,O,R,,,1
