"key","label","sourceType","required","status","usedFor","lastUpdated","endpoint","ageSeconds","error"
"ems-status","EMS Status","ems-turtle",true,"missing","[""connection"",""executive"",""controls""]",,,,
"blockviewer","Blockviewer","ems-turtle",true,"unknown","[""topology"",""arrays"",""pcs"",""controls""]","2026-07-07T19:35:59.500Z","/tools/monitor/ems/blockviewer/data",,
"strings","String List / strings.csv","ems-turtle",true,"unknown","[""string availability"",""SOC"",""kWh"",""cell voltage"",""cell temperature""]","2026-07-07T19:35:59.482Z","/tools/report/ems/strings.csv",,
"array-reports","Array Reports","ems-turtle",false,"missing","[""array summaries"",""PCS association"",""notifications context""]",,,,
"pcs-reports","PCS Reports","ems-turtle",false,"missing","[""PCS summary"",""power limits"",""PCS status""]",,,,
"notifications","Notifications","ems-turtle",true,"missing","[""corrective actions""]",,,,
"ems-apps","EMS Apps","ems-turtle",false,"missing","[""EMS app section"",""controls""]",,,,
"status-codes","BESS Status Codes","ems-turtle",false,"missing","[""corrective actions and status labels""]",,,,
"first-responder","First Responder","ems-turtle",false,"missing","[""sensors and safety data""]",,,,
"controller-statistics","Controller Statistics","ems-turtle",false,"missing","[""source diagnostics"",""controls"",""telemetry""]",,,,
"ip-map","IP Map","ems-turtle",false,"missing","[""metadata/topology reference""]",,,,
"string-ip-map","String IP Map","ems-turtle",false,"missing","[""metadata/topology reference""]",,,,
"modbus-map","Modbus Map","ems-turtle",false,"missing","[""controls/point validation""]",,,,
"fleet-capacity","Fleet Capacity Calculation","calculated",true,"fresh","[""executive"",""energy""]",,,,
"corrective-grouping","Corrective Action Grouping","calculated",true,"fresh","[""corrective actions""]",,,,
"thermal-outliers","Thermal Outlier Calculation","calculated",true,"fresh","[""thermal""]",,,,
"voltage-outliers","Voltage Outlier Calculation","calculated",true,"fresh","[""energy""]",,,,
"status","status","ems-turtle",,"unknown","[]","2026-07-07T19:35:59.464Z","/status",,
"lastCall","lastCall","ems-turtle",,"unknown","[]","2026-07-07T19:35:59.646Z","/tools/report/ems/lastCall.json",,
"statusCodes","statusCodes","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.885Z","/tools/report/ems/bessStatusCodes.json",,
"feather","feather","ems-turtle",,"unknown","[]","2026-07-07T19:36:07.393Z","/api/local/feather",,
"emsApps","emsApps","ems-turtle",,"unknown","[]","2026-07-07T19:35:59.646Z","/tools/report/ems/lastCall.json -> emsApps",,
"array-1-report","array-1-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.922Z","/tools/report/ems/array/1/report.json",,
"array-2-report","array-2-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.920Z","/tools/report/ems/array/2/report.json",,
"array-3-report","array-3-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.922Z","/tools/report/ems/array/3/report.json",,
"array-4-report","array-4-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.955Z","/tools/report/ems/array/4/report.json",,
"array-5-report","array-5-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.923Z","/tools/report/ems/array/5/report.json",,
"array-6-report","array-6-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.921Z","/tools/report/ems/array/6/report.json",,
"array-7-report","array-7-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.956Z","/tools/report/ems/array/7/report.json",,
"array-8-report","array-8-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.924Z","/tools/report/ems/array/8/report.json",,
"array-1-pcs-1-report","array-1-pcs-1-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.886Z","/tools/report/ems/array/1/pcs/1/report.json",,
"array-2-pcs-1-report","array-2-pcs-1-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.887Z","/tools/report/ems/array/2/pcs/1/report.json",,
"array-3-pcs-1-report","array-3-pcs-1-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.887Z","/tools/report/ems/array/3/pcs/1/report.json",,
"array-4-pcs-1-report","array-4-pcs-1-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.888Z","/tools/report/ems/array/4/pcs/1/report.json",,
"array-5-pcs-1-report","array-5-pcs-1-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.888Z","/tools/report/ems/array/5/pcs/1/report.json",,
"array-6-pcs-1-report","array-6-pcs-1-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.889Z","/tools/report/ems/array/6/pcs/1/report.json",,
"array-7-pcs-1-report","array-7-pcs-1-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.889Z","/tools/report/ems/array/7/pcs/1/report.json",,
"array-8-pcs-1-report","array-8-pcs-1-report","ems-turtle",,"unknown","[]","2026-07-07T19:36:12.889Z","/tools/report/ems/array/8/pcs/1/report.json",,
