ip,ping_ok,http_ok
10.0.1.4,1,1
10.0.1.11,1,1
10.0.1.16,1,1
10.0.1.21,1,1
10.0.1.26,1,1
10.0.1.31,1,1
10.0.1.36,1,1
10.0.1.41,1,1
10.0.1.46,1,1
10.0.1.51,1,1
10.0.1.56,1,1
10.0.1.61,1,1
10.0.1.66,1,1
10.0.1.71,1,1
10.0.1.76,1,1
10.0.1.81,1,1
10.0.1.86,1,1
10.0.1.91,1,1
10.0.1.96,1,1
10.0.1.101,1,1
10.0.1.106,1,1
10.0.2.4,1,1
10.0.2.11,1,1
10.0.2.16,1,1
10.0.2.21,1,1
10.0.2.26,1,1
10.0.2.31,1,1
10.0.2.36,1,1
10.0.2.41,1,1
10.0.2.46,1,1
10.0.2.51,1,1
10.0.2.56,1,1
10.0.2.61,1,1
10.0.2.66,1,1
10.0.2.71,1,1
10.0.2.76,1,1
10.0.2.81,1,1
10.0.2.86,1,1
10.0.2.91,1,1
10.0.2.96,1,1
10.0.2.101,1,1
10.0.2.106,1,1
10.0.3.4,1,1
10.0.3.11,1,1
10.0.3.16,1,1
10.0.3.21,1,1
10.0.3.26,1,1
10.0.3.31,1,1
10.0.3.36,1,1
10.0.3.41,1,1
10.0.3.46,1,1
10.0.3.51,1,1
10.0.3.56,1,1
10.0.3.61,1,1
10.0.3.66,1,1
10.0.3.71,1,1
10.0.3.76,1,1
10.0.3.81,1,1
10.0.3.86,1,1
10.0.3.91,1,1
10.0.3.96,1,1
10.0.3.101,1,1
10.0.3.106,1,1
10.0.4.4,1,1
10.0.4.11,1,1
10.0.4.16,1,1
10.0.4.21,1,1
10.0.4.26,1,1
10.0.4.31,1,1
10.0.4.36,1,1
10.0.4.41,1,1
10.0.4.46,1,1
10.0.4.51,1,1
10.0.4.56,1,1
10.0.4.61,1,1
10.0.4.66,1,1
10.0.4.71,1,1
10.0.4.76,1,1
10.0.4.81,1,1
10.0.4.86,1,1
10.0.4.91,1,1
10.0.4.96,1,1
10.0.4.101,1,1
10.0.4.106,1,1
10.0.5.4,1,1
10.0.5.11,1,1
10.0.5.16,1,1
10.0.5.21,1,1
10.0.5.26,1,1
10.0.5.31,1,1
10.0.5.36,1,1
10.0.5.41,1,1
10.0.5.46,1,1
10.0.5.51,1,1
10.0.5.56,1,1
10.0.5.61,1,1
10.0.5.66,1,1
10.0.5.71,1,1
10.0.5.76,1,1
10.0.5.81,1,1
10.0.5.86,1,1
10.0.5.91,1,1
10.0.5.96,1,1
10.0.5.101,1,1
10.0.5.106,1,1
10.0.6.4,1,1
10.0.6.11,1,1
10.0.6.16,1,1
10.0.6.21,1,1
10.0.6.26,1,1
10.0.6.31,1,1
10.0.6.36,1,1
10.0.6.41,1,1
10.0.6.46,1,1
10.0.6.51,1,1
10.0.6.56,1,1
10.0.6.61,1,1
10.0.6.66,1,1
10.0.6.71,1,1
10.0.6.76,1,1
10.0.6.81,1,1
10.0.6.86,1,1
10.0.6.91,1,1
10.0.6.96,1,1
10.0.6.101,1,1
10.0.6.106,1,1
10.0.7.4,1,1
10.0.7.11,1,1
10.0.7.16,1,1
10.0.7.21,1,1
10.0.7.26,1,1
10.0.7.31,1,1
10.0.7.36,1,1
10.0.7.41,1,1
10.0.7.46,1,1
10.0.7.51,1,1
10.0.7.56,1,1
10.0.7.61,1,1
10.0.7.66,1,1
10.0.7.71,1,1
10.0.7.76,1,1
10.0.7.81,1,1
10.0.7.86,1,1
10.0.7.91,1,1
10.0.7.96,1,1
10.0.7.101,1,1
10.0.7.106,1,1
10.0.8.4,1,1
10.0.8.11,1,1
10.0.8.16,1,1
10.0.8.21,1,1
10.0.8.26,1,1
10.0.8.31,1,1
10.0.8.36,1,1
10.0.8.41,1,1
10.0.8.46,1,1
10.0.8.51,1,1
10.0.8.56,1,1
10.0.8.61,1,1
10.0.8.66,1,1
10.0.8.71,1,1
10.0.8.76,1,1
10.0.8.81,1,1
10.0.8.86,1,1
10.0.8.91,1,1
10.0.8.96,1,1
10.0.8.101,1,1
10.0.8.106,1,1
