EntityKeyType,StationCode,BlockIndex,ArrayIndex,BlockMeterIndex,ArrayPcsIndex,UPSIndex,NetworkSwitchIndex,AcPvBatteryIndex,PvPcsIndex,BlockHvacIndex,IpAddress,TcpPort,DisableSSLCertChecking,CollectionSegmentIndex,EnergySegmentIndex,FirePanelIndex
FirePanel,BHE0020,1,,,,,,,,,10.0.1.115,502,TRUE,1,,101
BlockHvac,BHE0020,1,,,,,,,,101,10.0.1.4,502,TRUE,1,,
NetworkSwitch,BHE0020,1,,,,,101,,,,10.0.1.116,23,TRUE,1,,
NetworkSwitch,BHE0020,1,,,,,102,,,,10.0.1.117,23,TRUE,1,,
UPS,BHE0020,1,,,,101,,,,,10.0.1.5,502,TRUE,1,,
UPS,BHE0020,1,1,,,102,,,,,10.0.1.6,502,TRUE,1,,
BlockHvac,BHE0020,1,,,,,,,,102,10.0.1.11,502,TRUE,1,2,
BlockHvac,BHE0020,1,,,,,,,,103,10.0.1.16,502,TRUE,1,3,
BlockHvac,BHE0020,1,,,,,,,,104,10.0.1.21,502,TRUE,1,4,
BlockHvac,BHE0020,1,,,,,,,,105,10.0.1.26,502,TRUE,1,5,
BlockHvac,BHE0020,1,,,,,,,,106,10.0.1.31,502,TRUE,1,6,
BlockHvac,BHE0020,1,,,,,,,,107,10.0.1.36,502,TRUE,1,7,
BlockHvac,BHE0020,1,,,,,,,,108,10.0.1.41,502,TRUE,1,8,
UPS,BHE0020,1,1,,,103,,,,,10.0.1.7,502,TRUE,1,,
BlockHvac,BHE0020,1,,,,,,,,109,10.0.1.46,502,TRUE,1,9,
BlockHvac,BHE0020,1,,,,,,,,110,10.0.1.51,502,TRUE,1,10,
BlockHvac,BHE0020,1,,,,,,,,111,10.0.1.56,502,TRUE,1,11,
BlockHvac,BHE0020,1,,,,,,,,112,10.0.1.61,502,TRUE,1,12,
BlockHvac,BHE0020,1,,,,,,,,113,10.0.1.66,502,TRUE,1,13,
BlockHvac,BHE0020,1,,,,,,,,114,10.0.1.71,502,TRUE,1,14,
BlockHvac,BHE0020,1,,,,,,,,115,10.0.1.76,502,TRUE,1,15,
UPS,BHE0020,1,1,,,104,,,,,10.0.1.8,502,TRUE,1,,
BlockHvac,BHE0020,1,,,,,,,,116,10.0.1.81,502,TRUE,1,16,
BlockHvac,BHE0020,1,,,,,,,,117,10.0.1.86,502,TRUE,1,17,
BlockHvac,BHE0020,1,,,,,,,,118,10.0.1.91,502,TRUE,1,18,
BlockHvac,BHE0020,1,,,,,,,,119,10.0.1.96,502,TRUE,1,19,
BlockHvac,BHE0020,1,,,,,,,,120,10.0.1.101,502,TRUE,1,20,
BlockHvac,BHE0020,1,,,,,,,,121,10.0.1.106,502,TRUE,1,21,
FirePanel,BHE0020,1,,,,,,,,,10.0.2.115,502,TRUE,22,,201
BlockHvac,BHE0020,1,,,,,,,,201,10.0.2.4,502,TRUE,22,,
NetworkSwitch,BHE0020,1,,,,,201,,,,10.0.2.116,23,TRUE,22,,
NetworkSwitch,BHE0020,1,,,,,202,,,,10.0.2.117,23,TRUE,22,,
UPS,BHE0020,1,,,,2201,,,,,10.0.2.5,502,TRUE,22,,
UPS,BHE0020,1,2,,,2202,,,,,10.0.2.6,502,TRUE,22,,
BlockHvac,BHE0020,1,,,,,,,,202,10.0.2.11,502,TRUE,22,23,
BlockHvac,BHE0020,1,,,,,,,,203,10.0.2.16,502,TRUE,22,24,
BlockHvac,BHE0020,1,,,,,,,,204,10.0.2.21,502,TRUE,22,25,
BlockHvac,BHE0020,1,,,,,,,,205,10.0.2.26,502,TRUE,22,26,
BlockHvac,BHE0020,1,,,,,,,,206,10.0.2.31,502,TRUE,22,27,
BlockHvac,BHE0020,1,,,,,,,,207,10.0.2.36,502,TRUE,22,28,
BlockHvac,BHE0020,1,,,,,,,,208,10.0.2.41,502,TRUE,22,29,
UPS,BHE0020,1,2,,,2203,,,,,10.0.2.7,502,TRUE,22,,
