ArrayIndex,StringIndex,IpAddress,DestinationType,DestinationIndex,CollectionSegmentIndex,EnergySegmentIndex
1,1,10.0.1.12,Phoenix,1,1,2
1,2,10.0.1.13,Phoenix,1,1,2
1,3,10.0.1.17,Phoenix,1,1,3
1,4,10.0.1.18,Phoenix,1,1,3
1,5,10.0.1.22,Phoenix,1,1,4
1,6,10.0.1.23,Phoenix,1,1,4
1,7,10.0.1.27,Phoenix,1,1,5
1,8,10.0.1.28,Phoenix,1,1,5
1,9,10.0.1.32,Phoenix,1,1,6
1,10,10.0.1.33,Phoenix,1,1,6
1,11,10.0.1.37,Phoenix,1,1,7
1,12,10.0.1.38,Phoenix,1,1,7
1,13,10.0.1.42,Phoenix,1,1,8
1,14,10.0.1.43,Phoenix,1,1,8
1,15,10.0.1.47,Phoenix,1,1,9
1,16,10.0.1.48,Phoenix,1,1,9
1,17,10.0.1.52,Phoenix,1,1,10
1,18,10.0.1.53,Phoenix,1,1,10
1,19,10.0.1.57,Phoenix,1,1,11
1,20,10.0.1.58,Phoenix,1,1,11
1,21,10.0.1.62,Phoenix,1,1,12
1,22,10.0.1.63,Phoenix,1,1,12
1,23,10.0.1.67,Phoenix,1,1,13
1,24,10.0.1.68,Phoenix,1,1,13
1,25,10.0.1.72,Phoenix,1,1,14
1,26,10.0.1.73,Phoenix,1,1,14
1,27,10.0.1.77,Phoenix,1,1,15
1,28,10.0.1.78,Phoenix,1,1,15
1,29,10.0.1.82,Phoenix,1,1,16
1,30,10.0.1.83,Phoenix,1,1,16
1,31,10.0.1.87,Phoenix,1,1,17
1,32,10.0.1.88,Phoenix,1,1,17
1,33,10.0.1.92,Phoenix,1,1,18
1,34,10.0.1.93,Phoenix,1,1,18
1,35,10.0.1.97,Phoenix,1,1,19
1,36,10.0.1.98,Phoenix,1,1,19
1,37,10.0.1.102,Phoenix,1,1,20
1,38,10.0.1.103,Phoenix,1,1,20
1,39,10.0.1.107,Phoenix,1,1,21
1,40,10.0.1.108,Phoenix,1,1,21
2,1,10.0.2.12,Phoenix,2,22,23
2,2,10.0.2.13,Phoenix,2,22,23
2,3,10.0.2.17,Phoenix,2,22,24
2,4,10.0.2.18,Phoenix,2,22,24
2,5,10.0.2.22,Phoenix,2,22,25
2,6,10.0.2.23,Phoenix,2,22,25
2,7,10.0.2.27,Phoenix,2,22,26
2,8,10.0.2.28,Phoenix,2,22,26
2,9,10.0.2.32,Phoenix,2,22,27
2,10,10.0.2.33,Phoenix,2,22,27
2,11,10.0.2.37,Phoenix,2,22,28
2,12,10.0.2.38,Phoenix,2,22,28
2,13,10.0.2.42,Phoenix,2,22,29
2,14,10.0.2.43,Phoenix,2,22,29
2,15,10.0.2.47,Phoenix,2,22,30
2,16,10.0.2.48,Phoenix,2,22,30
2,17,10.0.2.52,Phoenix,2,22,31
2,18,10.0.2.53,Phoenix,2,22,31
2,19,10.0.2.57,Phoenix,2,22,32
2,20,10.0.2.58,Phoenix,2,22,32
